Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Albania,32.55,33.375,33.853,34.045,35.23,34.344,33.53,32.835,32.303,31.855,31.404,31.643,32.879,34.769,36.658,38.668,40.475,41.847,42.925,44.039,45.078,46.106,47.172,48.18,48.985,49.615,49.868,49.63,48.978,48.234,47.485,46.06,43.704,40.801,37.967,35.06,32.799,31.602,31.165,30.707,30.314,30.324,30.806,31.616,32.558,33.686,34.623,35.168,35.475,35.849,36.155,36.701,37.648,38.789,39.767,40.665,41.151,41.026,40.438,39.789,39.064,37.975,36.438,34.601,32.706,30.717,28.861,27.279,25.897,24.456,22.96,21.73,20.882,20.268,19.644,19.081,18.291,17.111,15.682,14.324,12.992,11.647,10.309,8.998,7.706,6.435,5.308,4.385,3.624,2.829,2.215,1.799,1.346,0.855,0.502,0.358,0.279,0.194,0.101,0.045,0.048
Algeria,1017.85,1019.163,1013.343,1001.118,973.142,955.517,932.632,905.239,874.087,840.932,807.527,769.603,725.899,680.179,636.639,593.444,564.26,556.007,562.691,569.949,578.914,594.446,616.959,643.762,671.888,702.098,725.623,737.835,742.052,746.184,748.612,748.737,747.038,743.145,736.701,728.366,715.666,697.525,675.481,652.553,628.624,604.097,579.637,555.477,530.929,505.828,483.958,467.038,453.501,439.934,426.873,414.067,401.004,387.822,375.391,363.797,351.099,336.504,320.899,305.513,289.551,276.253,267.181,260.531,253.567,247.585,237.389,220.354,199.272,179.282,159.025,142.548,132.274,126.13,119.533,113.307,107.096,100.235,93.035,86.558,80.695,74.36,67.151,59.475,52.193,45.199,38.559,32.411,26.753,20.745,15.787,12.789,9.741,6.58,4.409,3.424,2.717,1.95,1.121,0.607,0.884
Andean Community,1941.991,1901.619,1870.88,1848.787,1826.579,1825.029,1827.256,1832.526,1840.092,1850.269,1863.36,1873.382,1877.494,1878.105,1879.847,1881.059,1885.599,1895.609,1908.643,1919.536,1928.643,1936.056,1941.082,1943.235,1943.713,1943.465,1934.104,1911.957,1881.12,1849.235,1814.615,1782.267,1755.406,1731.675,1705.566,1678.264,1649.778,1619.591,1588.161,1556.945,1526.237,1493.806,1458.88,1422.783,1386.943,1350.264,1318.624,1294.83,1275.886,1255.829,1235.664,1213.274,1186.938,1157.549,1128.493,1100.02,1066.801,1026.818,982.71,938.443,892.388,851.768,820.32,794.39,767.35,741.437,710.164,669.929,624.392,580.627,536.993,497.506,464.807,436.82,408.724,381.358,355.073,329.525,304.763,281.29,259.132,237.043,214.494,192.007,170.716,150.481,131.348,113.479,96.887,80.081,66.38,56.177,45.132,33.14,24.818,20.814,17.119,12.805,7.876,5.001,8.778
Angola,1183.837,1160.188,1135.266,1109.173,1082.007,1053.992,1025.194,995.676,965.499,935.016,904.58,872.803,839.167,804.606,770.6,736.893,705.143,676.341,649.881,623.984,598.79,575.725,555.253,536.761,519.054,502.228,485.999,470.061,454.419,439.473,425.246,410.537,394.819,378.583,362.891,347.579,332.742,318.546,304.949,291.539,278.152,266.099,255.912,246.896,238.203,230.45,220.796,207.884,193.241,179.315,165.087,154.421,149.314,147.704,145.691,144.256,140.748,133.523,123.953,115.175,106.7,98.346,90.38,82.815,75.246,67.579,61.289,57.015,54.084,51.247,48.826,45.898,41.902,37.312,33.137,29.143,25.612,22.775,20.434,18.173,16.092,14.053,11.95,9.877,8.011,6.295,4.858,3.778,2.971,2.201,1.64,1.269,0.916,0.574,0.34,0.245,0.189,0.131,0.069,0.03,0.037
Antigua and Barbuda,1.455,1.473,1.482,1.482,1.488,1.469,1.447,1.425,1.405,1.384,1.364,1.353,1.354,1.366,1.377,1.388,1.405,1.43,1.459,1.489,1.519,1.536,1.532,1.514,1.496,1.478,1.461,1.449,1.441,1.431,1.419,1.411,1.408,1.409,1.41,1.412,1.412,1.407,1.399,1.392,1.385,1.381,1.383,1.388,1.391,1.392,1.394,1.395,1.394,1.391,1.385,1.374,1.353,1.326,1.296,1.265,1.224,1.174,1.116,1.057,0.996,0.938,0.883,0.832,0.779,0.727,0.68,0.642,0.61,0.578,0.549,0.517,0.48,0.44,0.402,0.366,0.332,0.3,0.273,0.246,0.219,0.196,0.176,0.161,0.146,0.134,0.12,0.104,0.087,0.071,0.057,0.048,0.038,0.026,0.019,0.015,0.012,0.009,0.005,0.003,0.004
Argentina,744.687,747.824,749.333,749.403,750.635,746.924,742.689,738.093,733.295,728.202,722.719,718.285,715.572,713.975,712.388,711.239,709.358,706.114,702.216,698.437,693.952,692.323,695.182,700.51,705.053,709.94,710.556,704.426,693.867,683.921,673.887,663.926,654.727,646.255,636.858,625.743,619.262,620.051,624.793,628.398,632.913,629.629,614.025,590.546,568.224,545.336,524.897,509.345,497.171,484.069,470.479,459.361,451.623,446.071,440.707,436.047,429.906,421.032,410.425,400.223,389.866,380.061,371.336,363.15,354.441,345.423,335.619,324.683,312.846,300.871,288.823,275.687,261.103,245.616,230.142,214.518,199.573,185.819,172.943,160.1,147.44,135.31,123.789,112.798,102.236,92.201,82.305,72.373,62.63,52.72,44.87,38.585,31.11,22.48,16.325,13.477,11.027,8.11,4.728,2.642,3.852
Armenia,39.623,41.036,42.077,42.775,42.869,43.1,43.062,42.781,42.288,41.656,40.958,40.002,38.726,37.295,35.954,34.684,33.76,33.354,33.391,33.514,33.658,34.586,36.598,39.305,41.949,44.597,47.057,49.132,50.838,52.468,54.059,54.75,54.171,52.7,51.14,49.394,47.524,45.662,43.809,41.853,39.836,38.01,36.497,35.246,34.097,33.095,32.338,31.862,31.661,31.569,31.477,32.046,33.541,35.587,37.503,39.375,40.826,41.586,41.766,41.885,41.997,41.117,38.853,35.686,32.464,28.989,25.999,23.936,22.467,20.908,19.508,17.82,15.591,13.147,10.867,8.44,7.29,8.09,10.063,11.901,14.029,14.875,13.575,10.931,8.577,6.142,4.297,3.525,3.444,3.264,3.06,2.694,2.122,1.383,0.811,0.559,0.442,0.323,0.205,0.118,0.261
Aruba,1.337,1.236,1.165,1.122,1.067,1.092,1.127,1.169,1.216,1.27,1.331,1.378,1.401,1.408,1.417,1.424,1.434,1.453,1.476,1.492,1.501,1.511,1.523,1.534,1.542,1.556,1.53,1.446,1.326,1.214,1.097,1.021,1.014,1.052,1.085,1.124,1.164,1.197,1.229,1.266,1.31,1.351,1.385,1.415,1.447,1.481,1.511,1.536,1.557,1.575,1.584,1.611,1.665,1.731,1.79,1.849,1.871,1.838,1.768,1.698,1.621,1.546,1.484,1.428,1.365,1.297,1.229,1.16,1.091,1.023,0.954,0.885,0.815,0.744,0.674,0.605,0.546,0.499,0.463,0.428,0.395,0.36,0.32,0.275,0.235,0.197,0.163,0.135,0.111,0.087,0.066,0.054,0.041,0.028,0.019,0.015,0.012,0.009,0.005,0.002,0.004
Asia,72419.538,72625.941,72789.573,72912.132,72920.497,73026.45,73082.329,73090.355,73052.773,72988.22,72915.306,72754.321,72474.716,72127.901,71791.715,71445.671,71205.689,71135.869,71186.622,71261.033,71398.606,71513.592,71560.102,71596.67,71601.663,71428.199,71786.075,72977.634,74591.296,76036.922,77581.089,77991.532,76642.639,74157.787,71817.298,69402.638,67250.345,65669.24,64505.583,63207.946,61779.988,60946.158,60977.997,61546.391,62040.954,62572.069,62775.408,62403.842,61605.907,60824.893,60029.341,58843.425,57142.645,55089.439,52995.489,50828.146,48692.349,46681.63,44774.853,42788.242,40675.627,38953.781,37835.067,37062.757,36237.622,35523.364,34249.85,32070.024,29331.721,26723.111,24098.529,21771.765,19965.837,18520.919,17039.041,15581.685,14260.675,13086.084,12026.047,11045.072,10157.921,9250.479,8264.664,7249.877,6314.562,5438.215,4632.818,3915.608,3276.749,2624.028,2098.013,1745.421,1375.856,985.076,713.081,582.614,475.242,353.557,217.567,133.994,244.673
Asia-Pacific Economic Cooperation (APEC),37153.445,37908.952,38468.688,38853.446,39126.894,39171.894,39123.389,38999.277,38817.455,38591.375,38334.491,38086.94,37875.504,37704.746,37549.628,37411.799,37390.454,37531.557,37799.796,38123.713,38529.439,38967.115,39408.621,39889.121,40351.856,40664.108,41472.659,43047.204,45007.842,46834.75,48787.626,49627.109,48733.464,46736.141,44900.033,42990.985,41459.403,40663.234,40389.992,39981.79,39465.307,39485.811,40265.198,41509.853,42703.099,43946.874,44825.62,45079.413,44879.591,44693.775,44472.098,43939.418,43019.491,41823.774,40565.416,39232.302,37878.005,36560.791,35284.202,33927.718,32436.489,31302.966,30734.985,30484.349,30155.31,29899.397,29111.57,27473.863,25298.771,23223.437,21128.458,19216.201,17654.24,16341.992,14988.218,13623.456,12456.867,11554.664,10834.222,10156.671,9561.734,8890.827,8054.752,7129.577,6279.895,5471.948,4735.949,4103.172,3551.612,2986.882,2534.814,2177.007,1757.33,1277.392,936.303,779.093,642.368,481.016,295.051,182.372,316.367
Asia-Pacific Group,72164.767,72345.361,72491.162,72602.99,72602.089,72712.723,72776.588,72795.168,72769.987,72719.383,72661.687,72514.223,72244.817,71905.483,71576.536,71237.279,71000.277,70928.3,70973.042,71040.813,71171.198,71276.328,71309.816,71331.535,71321.804,71133.489,71479.07,72662.481,74271.268,75712.406,77252.517,77662.732,76318.665,73842.142,71510.505,69105.587,66962.77,65389.913,64233.603,62943.769,61523.896,60696.666,60732.907,61304.11,61801.122,62333.968,62538.977,62169.426,61373.43,60594.066,59800.664,58613.906,56907.786,54846.785,52745.805,50571.144,48432.488,46425.936,44528.065,42550.22,40447.164,38734.761,37624.413,36859.964,36043.63,35338.698,34075.004,31905.581,29178.031,26579.888,23965.22,21648.936,19854.427,18421.06,16950.387,15504.802,14190.971,13016.618,11952.578,10967.985,10076.178,9168.192,8188.821,7184.848,6259.28,5392.767,4595.617,3883.703,3248.183,2599.411,2076.695,1727.027,1361.097,974.603,705.705,576.6,470.323,349.973,215.552,132.854,243.072
Association of Southeast Asian Nations (ASEAN),10918.701,11132.524,11285.374,11384.141,11522.012,11477.693,11414.81,11338.754,11254.923,11160.567,11052.947,10978.146,10957.832,10972.988,10981.831,10991.428,10998.875,10998.114,10991.381,10983.958,10971.195,10959.909,10952.828,10943.133,10930.398,10925.657,10867.208,10727.807,10540.83,10355.282,10147.432,10017.945,10017.414,10092.762,10149.202,10216.338,10200.907,10050.348,9814.489,9591.103,9355.098,9162.277,9048.487,8982.142,8896.073,8804.007,8690.537,8541.335,8366.358,8190.831,8010.846,7818.272,7611.945,7394.221,7167.553,6930.173,6692.373,6459.11,6225.312,5984.086,5740.59,5474.696,5176.909,4858.816,4544.6,4233.154,3923.649,3619.333,3323.219,3033.237,2747.597,2494.173,2285.959,2111.231,1943.615,1786.393,1641.782,1507.581,1382.492,1268.428,1166.213,1060.681,944.837,825.026,714.341,609.872,516.232,436.937,369.237,300.986,246.755,207.118,164.397,118.447,86.119,70.708,58.126,43.785,27.693,17.825,35.715
Australia,335.309,333.362,331.599,329.985,324.602,325.386,325.685,325.495,324.812,324.003,323.438,321.248,316.681,310.854,305.547,300.305,297.38,298.04,301.302,304.583,308.006,313.167,320.476,329.112,337.791,346.701,354.403,360.029,364.065,367.775,370.804,372.971,374.281,374.585,374.445,374.596,371.002,361.979,349.83,337.85,324.551,316.844,318.241,325.251,331.316,338.28,341.184,337.069,328.646,321.215,313.274,308.194,308.043,310.827,312.592,314.259,313.886,310.151,304.115,298.312,292.413,285.847,278.64,271.022,262.858,253.774,246.302,241.564,238.252,234.345,230.736,223.852,211.865,196.673,181.943,166.875,153.449,143.001,134.546,125.719,116.932,108.566,100.551,92.85,85.539,78.66,71.67,64.323,56.862,49.275,43.43,38.19,31.515,23.467,17.817,15.375,12.787,9.455,5.378,3.07,4.078
Australia/New Zealand,394.314,393.147,392.121,391.195,385.516,387.337,388.501,388.999,388.82,388.435,388.322,386.048,380.632,373.519,366.984,360.397,356.844,358.035,362.586,367.005,371.508,377.846,386.384,396.208,406.05,416.166,424.394,429.53,432.383,434.913,436.662,437.516,437.589,436.714,435.38,434.408,429.686,419.509,406.294,393.333,378.968,371.153,373.864,383.065,391.256,400.554,405.008,401.1,392.028,384.069,375.438,370.074,370.397,374.056,376.441,378.669,378.234,373.488,365.798,358.365,350.766,342.453,333.543,324.262,314.294,303.198,294.161,288.583,284.828,280.355,276.265,268.158,253.775,235.442,217.683,199.513,183.302,170.658,160.4,149.695,139.059,128.877,119.041,109.552,100.549,92.045,83.594,74.998,66.446,57.77,51.218,45.098,37.172,27.538,20.73,17.786,14.77,10.917,6.229,3.544,4.74
Austria,91.186,89.715,88.377,87.18,85.866,85.099,84.465,83.979,83.657,83.498,83.5,83.766,84.348,85.208,86.286,87.627,89.106,90.664,92.386,94.209,95.906,98.612,102.808,107.838,112.68,117.674,121.273,122.648,122.541,122.446,121.965,121.87,122.664,123.877,124.8,125.893,125.546,122.989,119.176,115.748,112.282,110.415,111.099,113.565,115.817,117.916,121.13,125.778,131.179,136.38,141.627,145.208,146.19,145.273,144.203,142.766,140.347,136.858,132.547,127.925,123.101,117.814,112.056,106.126,100.218,94.164,89.495,86.955,85.868,84.619,83.303,82.511,82.299,82.309,82.291,82.497,81.02,76.945,71.162,65.526,59.739,54.151,49.147,44.568,39.832,35.008,30.752,27.317,24.469,21.564,19.553,17.329,14.311,10.567,7.908,6.865,5.706,4.127,2.131,1.09,1.114
Azerbaijan,151.983,164.384,172.686,177.356,181.958,178.522,173.523,167.358,160.423,152.785,144.509,137.641,133.238,130.707,128.308,126.287,125.804,127.231,130.175,133.538,137.141,142.282,149.368,157.572,165.583,173.575,180.172,184.528,187.08,189.31,191.154,190.923,187.999,183.118,177.892,172.305,165.977,158.983,151.698,144.339,136.759,130.862,127.586,126.161,124.805,123.783,123.294,123.229,123.535,123.959,124.178,125.286,127.678,130.572,133.026,135.509,135.216,130.743,123.418,116.078,108.281,100.369,92.836,85.529,77.898,70.176,62.613,55.32,48.396,41.77,35.392,30.144,26.438,23.911,21.597,19.457,18.286,18.309,19.054,19.965,21.307,21.422,19.472,16.231,13.304,10.359,7.893,6.312,5.333,4.112,3.071,2.433,1.82,1.214,0.795,0.61,0.483,0.339,0.18,0.084,0.112
BRIC,45064.058,45082.526,45153.654,45268.528,45226.079,45526.514,45812.371,46077.301,46314.96,46541.753,46774.082,46891.861,46843.244,46690.135,46550.149,46404.411,46309.233,46306.074,46373.749,46474.038,46643.901,46796.956,46895.955,47006.446,47089.67,46983.515,47521.78,49060.872,51127.264,53026.879,55061.552,55868.697,54751.951,52401.971,50225.69,47965.608,46059.888,44876.27,44202.773,43380.559,42446.444,42031.438,42353.508,43135.471,43874.008,44659.984,45158.508,45148.53,44763.812,44397.44,44016.735,43310.344,42177.208,40748.505,39283.843,37764.152,36235.807,34758.912,33339.026,31844.578,30209.455,28993.939,28434.203,28244.423,27980.091,27823.103,27028.252,25209.484,22753.322,20427.016,18070.72,16021.506,14522.498,13402.731,12226.5,11054.998,10047.188,9230.328,8550.209,7936.74,7417.584,6822.455,6063.746,5218.813,4450.22,3722.571,3083.12,2570.783,2155.612,1732.941,1387.595,1148.599,894.004,622.878,431.287,340.29,273.638,201.239,123.103,74.773,140.1
BRICS,46192.32,46232.05,46318.161,46442.229,46395.696,46698.431,46981.888,47240.15,47467.306,47681.128,47899.384,47997.75,47922.945,47740.108,47571.047,47395.478,47279.36,47269.205,47339.666,47442.638,47616.256,47776.467,47885.93,48009.14,48105.377,48011.722,48563.151,50116.062,52195.27,54105.623,56149.871,56956.855,55826.049,53451.854,51250.353,48963.706,47025.767,45803.534,45087.592,44221.844,43241.871,42788.346,43084.109,43847.774,44566.996,45334.51,45813.542,45781.223,45372.616,44983.903,44581.749,43854.644,42701.746,41254.04,39770.643,38232.49,36686.243,35192.072,33755.366,32244.23,30592.513,29360.517,28784.357,28578.103,28297.544,28124.929,27312.82,25474.213,22996.837,20649.884,18272.854,16205.552,14692.575,13561.61,12374.222,11192.256,10173.492,9344.363,8651.353,8025.933,7495.494,6889.792,6121.41,5267.634,4490.728,3755.307,3109.091,2591.182,2171.44,1744.149,1395.379,1154.496,898.191,625.472,432.711,341.23,274.357,201.718,123.322,74.839,140.149
Bahamas,5.787,5.474,5.268,5.158,4.974,5.118,5.293,5.49,5.697,5.92,6.166,6.346,6.421,6.428,6.44,6.441,6.455,6.504,6.573,6.617,6.641,6.665,6.697,6.723,6.741,6.768,6.704,6.504,6.223,5.953,5.667,5.466,5.404,5.433,5.452,5.482,5.504,5.495,5.473,5.462,5.445,5.468,5.552,5.667,5.772,5.886,5.915,5.809,5.617,5.427,5.21,5.052,5.001,5.007,4.987,4.964,4.868,4.657,4.371,4.094,3.813,3.54,3.293,3.065,2.832,2.598,2.387,2.208,2.053,1.905,1.761,1.636,1.531,1.44,1.356,1.279,1.196,1.096,0.985,0.883,0.785,0.691,0.602,0.518,0.438,0.361,0.295,0.243,0.203,0.163,0.133,0.11,0.086,0.06,0.041,0.033,0.027,0.019,0.012,0.005,0.008
